ISO,Country,healthexp,healthexpShare,doccap,nursecap,Yhealthexp,YhealthexpShare,Ydoccap,Ynursecap
OECD,OECD,4087.4522631579,4.38657894736842,3.55605263157895,8.83157894736842,2019,2019,2019,2019
AUS,Australia,4919.24,3.84,3.83,12.22,2019,2019,2019,2019
AUT,Austria,5705.102,7.19,5.32,10.37,2019,2019,2019,2019
BEL,Belgium,5458.401,5.57,3.16,11.07,2019,2019,2019,2019
CAN,Canada,5370.442,2.52,2.74,9.98,2019,2019,2019,2019
CHL,Chile,2291.464,2.03,2.64,2.87,2019,2019,2019,2019
COL,Colombia,1276.209,1.74,2.25,1.39,2019,2019,2019,2019
CRI,Costa Rica,1599.817,1.1,3.07,3.41,2019,2019,2019,2019
CZE,Czech Republic,3417.487,6.58,4.07,8.56,2019,2019,2019,2019
DNK,Denmark,5477.567,2.59,4.19,10.1,2019,2019,2019,2019
EST,Estonia,2507.068,4.53,3.47,6.24,2019,2019,2019,2019
FIN,Finland,4561.471,3.35,3.21,14.26,2019,2019,2019,2019
FRA,France,5274.26,5.84,3.17,11.07,2019,2019,2019,2019
DEU,Germany,6518.004,7.91,4.39,13.949,2019,2019,2019,2019
GRC,Greece,2318.964,4.18,6.16,3.38,2019,2019,2019,2019
HUN,Hungary,2169.772,6.91,3.49,6.62,2019,2019,2019,2019
ISL,Iceland,4540.762,2.8,3.89,15.36,2019,2019,2019,2019
IRL,Ireland,5083.213,2.88,3.32,12.88,2019,2019,2019,2019
ISR,Israel,2903.412,2.96,3.29,5.01,2019,2019,2019,2019
ITA,Italy,3653.401,3.16,4.05,6.16,2019,2019,2019,2019
JPN,Japan,4691.462,12.84,2.49,11.76,2019,2019,2019,2019
KOR,Korea,3406.256,12.44,2.46,7.94,2019,2019,2019,2019
LVA,Latvia,2074.007,5.42,3.27,4.39,2019,2019,2019,2019
LTU,Lithuania,2727.189,6.35,4.57,7.74,2019,2019,2019,2019
LUX,Luxembourg,5414.482,4.26,2.98,11.72,2019,2019,2019,2019
MEX,Mexico,1132.966,0.97,2.44,2.85,2019,2019,2019,2019
NLD,Netherlands,5739.201,3.08,3.72,10.69,2019,2019,2019,2019
NZL,New Zealand,4211.854,2.54,3.38,10.24,2019,2019,2019,2019
NOR,Norway,6744.623,3.47,4.97,17.88,2019,2019,2019,2019
POL,Poland,2289.309,6.17,2.38,5.1,2019,2019,2019,2019
PRT,Portugal,3347.429,3.51,5.32,7.09,2019,2019,2019,2019
SVK,Slovak Republic,2189.052,5.76,3.57,5.74,2019,2019,2019,2019
SVN,Slovenia,3303.471,4.43,3.26,10.28,2019,2019,2019,2019
ESP,Spain,3600.277,2.95,4.4,5.89,2019,2019,2019,2019
SWE,Sweden,5551.937,2.07,4.32,10.85,2019,2019,2019,2019
CHE,Switzerland,7138.064,4.59,4.35,17.96,2019,2019,2019,2019
TUR,Turkey,1266.935,2.88,1.95,2.4,2019,2019,2019,2019
GBR,United Kingdom,4500.141,2.45,2.95,8.2,2019,2019,2019,2019
USA,United States,10948.475,2.83,2.64,11.98,2019,2019,2019,2019
