ISO,Country,LifeExp,AvMort,ChronicDisMor,SelfRated,YLifeExp,YAvMort,YChronicDisMor,YSelfRated
OECD,OECD,80.9873684210526,199.157894736842,6.67777777777778,8.46388888888889,2019,2019,2019,2019
AUS,Australia,83,139,5.6,3.7,2019,2019,2019,2019
AUT,Austria,82,170,6.6,7.8,2019,2019,2019,2019
BEL,Belgium,82.1,173,,9.1,2019,2019,2019,2019
CAN,Canada,82.1,172,7.6,2.8,2019,2019,2019,2019
CHL,Chile,80.6,191,8.6,6.6,2019,2019,2019,2019
COL,Colombia,76.7,237,7.4,1.3,2019,2019,2019,2019
CRI,Costa Rica,80.5,209,9.1,N/A,2019,2019,2019,2019
CZE,Czech Republic,79.3,234,7,10.4,2019,2019,2019,2019
DNK,Denmark,81.5,167,,8.3,2019,2019,2019,2019
EST,Estonia,78.8,281,4.2,13.3,2019,2019,2019,2019
FIN,Finland,82.1,176,5.6,5.6,2019,2019,2019,2019
FRA,France,82.9,153,4.8,8.9,2019,2019,2019,2019
DEU,Germany,81.4,175,10.4,8.5,2019,2019,2019,2019
GRC,Greece,81.7,179,4.7,6.6,2019,2019,2019,2019
HUN,Hungary,76.4,374,6.9,11.8,2019,2019,2019,2019
ISL,Iceland,83.2,126,5.8,5.9,2019,2019,2019,2019
IRL,Ireland,82.8,172,3.2,3.2,2019,2019,2019,2019
ISR,Israel,82.9,125,9.7,11,2019,2019,2019,2019
ITA,Italy,83.6,136,5,7,2019,2019,2019,2019
JPN,Japan,84.4,130,5.6,13.6,2019,2019,2019,2019
KOR,Korea,83.3,139,6.9,15.2,2019,2019,2019,2019
LVA,Latvia,75.5,405,5,15.4,2019,2019,2019,2019
LTU,Lithuania,76.4,364,3.8,15.2,2019,2019,2019,2019
LUX,Luxembourg,82.7,97,5,9,2019,2019,2019,2019
MEX,Mexico,75.1,366,13.5,,2019,2019,2019,2019
NLD,Netherlands,82.2,145,5.4,5.5,2019,2019,2019,2019
NZL,New Zealand,82.1,168,6.2,2.6,2019,2019,2019,2019
NOR,Norway,83,145,5.3,8.6,2019,2019,2019,2019
POL,Poland,78,268,6.1,12.8,2019,2019,2019,2019
PRT,Portugal,81.8,173,9.8,15.2,2019,2019,2019,2019
SVK,Slovak Republic,77.8,322,6.5,12.6,2019,2019,2019,2019
SVN,Slovenia,81.6,185,5.9,9.6,2019,2019,2019,2019
ESP,Spain,83.9,141,6.9,7.2,2019,2019,2019,2019
SWE,Sweden,83.2,140,4.8,5.1,2019,2019,2019,2019
CHE,Switzerland,84,122,5.7,4.2,2019,2019,2019,2019
TUR,Turkey,78.6,216,11.1,10.4,2019,2019,2019,2019
GBR,United Kingdom,81.42,188,3.9,7.4,2019,2019,2019,2019
USA,United States,78.9,265,10.8,3.3,2019,2019,2019,2019
